taxel,x,y,z
1,0.386434851,-0.108966104,0.156871012
2,0.318945051,-0.205042252,0.12070609
3,0.08737268,-0.128562247,0.281981384
4,0.083895199,-0.235924865,0.201566857
5,-0.018624877,-0.30011705,0.094918748
6,-0.091886816,-0.12043608,0.284956139
7,-0.1366595,-0.237549685,0.187122746
8,-0.223451775,-0.270674659,0.071536904
9,-0.320752549,-0.199498368,0.127771244
10,-0.396931929,-0.100043884,0.151565706
11,0.386434851,-0.108966104,-0.156871012
12,0.318945051,-0.205042252,-0.12070609
13,0.08737268,-0.128562247,-0.281981384
14,0.083895199,-0.235924865,-0.201566857
15,-0.018624877,-0.30011705,-0.094918748
16,-0.091886816,-0.12043608,-0.284956139
17,-0.1366595,-0.237549685,-0.187122746
18,-0.223451775,-0.270674659,-0.071536904
19,-0.320752549,-0.199498368,-0.127771244
20,-0.396931929,-0.100043884,-0.151565706
21,0.25875305,-0.252337663,0.0
22,0.170153841,-0.274427927,0.072909607
23,0.170153841,-0.274427927,-0.072909607
24,0.075325086,-0.298071391,0.0